ИНН;Краткое наименование;Город;Регион;Должность руководителя;Фамилия руководителя;Имя руководителя;Отчество руководителя;Сумма генподряда;Статус в СРО;Статус торгов;Членские взносы;Страхвка;Проверка;Допуск выдан;Юридический адрес;Фактический адрес;Телефон;Факс;E-mail;Веб-сайт;Полное наименование;ОГРН;КПП;Номер свидетельства;Виды работ
"""6731046428""";ЗАО «ИТЦ ТР» ;г.Смоленск;;Генеральный директор;Андреева;Наталья;Петровна;;Действует;;;28.12.2014;;16.10.2012;214014, г.Смоленск, ул.Чаплина, д12;214014, г.Смоленск, ул.Чаплина, д12;(4812) 38-72-35;52-83-03;;http://itctr.ru;Закрытое акционерное общество «Инженерно-технический центр технических регламентов»;"""1046758314657""";;"""0001-2012-6731046428--П-3""";
"""6730026972""";ЗАО «ИТЦ «ВИБРОТЕХПРОМ» ;г.Смоленск;;Генеральный директор;Павлов;Сергей;Александрович;;Действует;;;28.12.2014;;04.10.2012;214004, г.Смоленск, ул.Колхозная, д.8;214004, г.Смоленск, ул.Колхозная, д.8;(4812) 38-92-71, 35-67-94;35-51-34;vtp2004@mail.ru;;Закрытое акционерное общество «ИТЦ «ВИБРОТЕХПРОМ»;"""1026701421075""";;"""0004-2012-6730026972--П-4""";
"""6724004280""";ЗАО «АЭСП» ;г.Десногорск;;Директор;Подкопаев;Антон;Сергеевич;;Действует;;;23.12.2014;;04.10.2012;216400, Смоленская область, г. Десногорск, 6-й микрорайон, коттедж 6;216400, Смоленская область, г. Десногорск, 6-й микрорайон, коттедж 6;(48153) 71627;33142, 65142;aesp@mail.ru;;Закрытое акционерное общество «предприятие Атомэнергостройпроект»;"""1026700925360""";;"""0005-2012-6724004280--П-3""";
"""6730009409""";ОГУП «Институт Смоленскгражданпроект» ;г.Смоленск;;Директор;Иванов;Дмитрий;Владимирович;;Действует;;;31.12.2014;;04.10.2012;214000, г.Смоленск, ул. Октябрьской Революции, д.14А;214000, г.Смоленск, ул. Октябрьской Революции, д.14А;(4812) 381992;381568;sgproekt@sci.smolensk.ru;;Областное государственное унитарное предприятие «Институт Смоленскгражданпроект»;"""1026701450665""";;"""0006-2012-6730009409--П-3""";
"""6731002237""";ОГУП «Смоленсккоммунпроект» ;г. Смоленск;;Директор;Корепанова;Ирина;Васильевна;;Действует;;;29.12.2014;;04.10.2012;214019, г. Смоленск,Трамвайный проезд, д.12;214019, г. Смоленск,Трамвайный проезд, д.12;(4812) 557006;557426;ogupkommunproekt@mail.ru;;Областное государственное унитарное предприятие «Смоленсккоммунпроект»;"""1026701460719""";;"""0007-2012-6731002237--П-3""";
"""6731051763""";ООО «Амкор-Строй» ;г.Смоленск;;Технический директор, ГИП;Ковалков;Александр;Николаевич;;Действует;;;31.12.2014;;04.10.2012;214000, г. Смоленск, ул. Большая Советская, д.45/1;214000, г. Смоленск, ул. Большая Советская, д.45/1;(4812) 684-000, 38-73-96;68-40-00;info@amkor.ru;;Общество с ограниченной ответственностью «Амкор-Строй»;"""1056758424447""";;"""0008-2012-6731051763--П-3""";
"""7710729344""";ООО «Архитектурная Мастерская 1.618» ;г. Москва;;Генеральный директор;Алабужева;Елена;Валерьевна;;Действует;;;31.12.2014;;08.09.2014;109012, г. Москва, М. Черкасский пер., д.2;109012, г. Москва, М. Черкасский пер., д.2;(495) 631-34-90;631-34-90;1.618am@gmail.com;;Общество с ограниченной ответственностью «Архитектурная Мастерская 1.618»;"""5087746281904""";;"""0009-2014-7710729344--П-6""";
"""6731004650""";ООО АСУ ;г.Смоленск;;Директор;Мальков;Владимир;Александрович;;Действует;;;19.01.2015;;16.10.2012;214000, г. Смоленск, ул. Соболева, д.5;214000, г. Смоленск, ул. Соболева, д.5;(4812) 35-03-09;35-03-09;asu-smol@mail.ru;;Общество с ограниченной ответственностью АСУ;"""1026701435441""";;"""0010-2012-6731004650--П-3""";
"""6731060648""";ООО «БСУ ПОЗИТИВ» ;г.Смоленск;;Директор;Кукушкина;Екатерина;Александровна;;Действует;;;29.10.2014;;08.11.2013;214014, г. Смоленск, ул. Энгельса, д.9, кв.11;214014, г. Смоленск, ул. Энгельса, д.9, кв.11;(4812) 55-40-69;55-40-69;kkaty_ku@mail.ru;;Общество с ограниченной ответственностью «Бюро строительных услуг ПОЗИТИВ»;"""1076731004811""";;"""0011-2014-6731060648--П-4""";
"""7714575293""";ООО «ВК Сервис» ;г.Москва;;Генеральный директор;Коновалов;Антон;Николаевич;;Действует;;;07.12.2014;;16.10.2012;125284, г. Москва, ул. Беговая, д.13/2;125284, г. Москва, ул. Беговая, д.13/2;(495) 799-49-03;(499) 151-64-30;antonkon@yandex.ru;;Общество с ограниченной ответственностью «ВК Сервис»;"""1047796823865""";;"""0012-2012-7714575293--П-3""";
